postition	term
393657	Hal
393771	Hal
393849	Hal
393875	Hal
393967	Hal
394102	Hal
394153	Hal
394258	Hal
394461	Hal
394498	Hal
394596	Hal
394764	Hal
394792	Hal
419343	Hal
419385	Hal
425404	Hal
427282	Hal
427771	Hal
428827	Hal
429101	Hal
430095	Hal
430298	Hal
446087	Hal
446571	Hal
463403	Hal
464166	Hal
475567	Hal
475577	Hal
475673	Hal
475802	Hal
475886	Hal
475891	Hal
476060	Hal
476115	Hal
483966	Hal
484000	Hal
490839	Hal
491529	Hal
491579	Hal
491586	Hal
491790	Hal
492092	Hal
492566	Hal
492620	Hal
492709	Hal
492799	Hal
492914	Hal
493456	Hal
496261	Hal
496371	Hal
496423	Hal
496461	Hal
496584	Hal
496638	Hal
496824	Hal
496883	Hal
496910	Hal
496977	Hal
501645	Hal
502598	Hal
503367	Hal
503539	Hal
503986	Hal
504032	Hal
504094	Hal
504133	Hal
504324	Hal
504365	Hal
504453	Hal
504520	Hal
504543	Hal
504686	Hal
505103	Hal
505142	Hal
505409	Hal
506003	Hal
506177	Hal
506569	Hal
506617	Hal
507638	Hal
508036	Hal
508471	Hal
510203	Hal
510229	Hal
511151	Hal
511166	Hal
511195	Hal
512216	Hal
512303	Hal
512718	Hal
513346	Hal
514531	Hal
514772	Hal
514915	Hal
514934	Hal
514976	Hal
515037	Hal
515233	Hal
515405	Hal
519357	Hal
519439	Hal
519623	Hal
519866	Hal
519925	Hal
520110	Hal
520688	Hal
521225	Hal
522377	Hal
523764	Hal
524058	Hal
524067	Hal
524368	Hal
527083	Hal
527429	Hal
528061	Hal
532319	Hal
532411	Hal
532891	Hal
534878	Hal
535715	Hal
536542	Hal
536547	Hal
537666	Hal
541693	Hal
541791	Hal
542618	Hal
542798	Hal
543801	Hal
543860	Hal
14785	Mario
14794	Mario
14837	Mario
14936	Mario
15016	Mario
18332	Mario
18458	Mario
18606	Mario
18746	Mario
18806	Mario
19211	Mario
22922	Mario
23545	Mario
25293	Mario
37422	Mario
37463	Mario
37540	Mario
37591	Mario
37631	Mario
37634	Mario
37834	Mario
38200	Mario
38708	Mario
38745	Mario
38845	Mario
38931	Mario
39127	Mario
39208	Mario
39239	Mario
39548	Mario
39666	Mario
39760	Mario
39812	Mario
39904	Mario
47459	Mario
56603	Mario
56730	Mario
56755	Mario
56773	Mario
56842	Mario
56963	Mario
57194	Mario
57236	Mario
57348	Mario
57513	Mario
57576	Mario
57626	Mario
57652	Mario
57723	Mario
57747	Mario
57770	Mario
57804	Mario
57942	Mario
58146	Mario
58175	Mario
58445	Mario
58492	Mario
58529	Mario
58541	Mario
58716	Mario
58990	Mario
59096	Mario
59156	Mario
59177	Mario
59237	Mario
59290	Mario
71827	Mario
71860	Mario
71917	Mario
72175	Mario
72352	Mario
72694	Mario
72986	Mario
73046	Mario
73059	Mario
73331	Mario
73352	Mario
73365	Mario
73429	Mario
81317	Mario
81838	Mario
82075	Mario
88162	Mario
90468	Mario
90731	Mario
90838	Mario
91043	Mario
91403	Mario
91458	Mario
91485	Mario
91496	Mario
91582	Mario
91668	Mario
91751	Mario
91828	Mario
91884	Mario
92005	Mario
92781	Mario
92833	Mario
92854	Mario
92900	Mario
104168	Mario
104562	Mario
105476	Mario
118143	Mario
119416	Mario
119595	Mario
120118	Mario
120129	Mario
126865	Mario
127571	Mario
127675	Mario
